"","stream","period","parameter","estimate","se","lcl","ucl"
"1","CA",1,"Phi",0.780421283698084,0.00818994854908619,0.763948612353614,0.796051277372453
"2","CA",2,"Phi",0.798592113706323,0.00891881528599301,0.780543596489334,0.815507077735174
"3","CA",3,"Phi",0.795365263829516,0.0050532993028405,0.785282952726315,0.805091701188477
"4","CA",1,"pop.dens",6.66948961818037,0.187418803948184,6.30214876244193,7.03683047391881
"5","CA",2,"pop.dens",5.63428173216834,0.169765866987741,5.30154063287237,5.96702283146431
"6","CA",3,"pop.dens",10.310008546304,0.164062532618477,9.98844598237179,10.6315711102362
"7","CA",1,"per.capita.recruitment",0.395231850176615,0.0102808745222484,0.375081336113008,0.415382364240222
"8","CA",2,"per.capita.recruitment",0.597314453753657,0.011152917832121,0.5754547348027,0.619174172704614
"9","CA",3,"per.capita.recruitment",0.534808834089331,0.00690209645318239,0.521280725041094,0.548336943137569
"10","TY",1,"Phi",0.7809176814787,0.00429787912461808,0.7723776995212,0.789224794145451
"11","TY",2,"Phi",0.853379483366286,0.00373742120871214,0.845901771884679,0.860554247399568
"12","TY",3,"Phi",0.754395583800596,0.00447656382287848,0.745516449557998,0.763063485682367
"13","TY",1,"pop.dens",12.8011275177822,0.22185633908583,12.3662890931739,13.2359659423904
"14","TY",2,"pop.dens",13.5941139389844,0.241544434233306,13.1206868478872,14.0675410300817
"15","TY",3,"pop.dens",15.2322321089831,0.185863171057554,14.8679402937103,15.5965239242559
"16","TY",1,"per.capita.recruitment",0.42083060571631,0.00671714401845176,0.407665003440144,0.433996207992475
"17","TY",2,"per.capita.recruitment",0.500601759261166,0.00603397564411868,0.488775166998693,0.512428351523638
"18","TY",3,"per.capita.recruitment",0.568637800424935,0.00580716839239444,0.557255750375842,0.580019850474028
